epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9319,1.68266,4.03435,1.1767,0.00259,0.21875,0.00185,0.00115,1.57137,3.9081,1.08005,4e-05,4e-05,4e-05
2,21.599,1.66903,4.08225,1.16093,0.0037,0.3125,0.00315,0.00184,1.52394,3.85908,1.04735,5.05e-05,5.05e-05,5.05e-05
